book_id,author_id,book_genre,reader_id,num_pages,book_rating,publisher_id,publish_year,book_price,text_lang
1141,296,1,27831,505,5,6,2013,66,1
1274,397,5,22636,203,2,39,2011,130,6
371,166,10,29530,270,7,24,2013,61,4
297,124,4,11291,303,8,18,2015,42,1
1845,416,3,8251,659,3,21,2011,101,6
2336,205,9,19793,114,6,2,2013,7,7
1566,243,2,357,129,2,50,2000,192,2
537,99,4,5878,173,7,3,2001,121,7
954,346,1,15022,474,8,44,2019,70,1
536,156,6,29633,515,4,13,2011,83,5
1733,300,5,652,516,6,3,2021,179,4
373,403,7,2596,685,8,18,2016,2,7
1133,352,5,7613,306,2,28,2013,72,7
2574,306,7,2220,601,8,33,2013,48,2
295,170,5,16848,462,2,33,2005,200,7
2639,156,4,18529,213,4,2,2016,78,3
1842,439,10,20722,223,6,25,2004,29,7
1839,372,4,9668,409,9,36,2014,4,4
347,383,8,12551,137,8,21,2016,83,3
2402,404,4,2043,593,4,12,2007,148,7
1748,126,6,8739,443,8,45,2008,73,2
1450,415,6,23101,364,6,50,2013,179,2
2239,372,8,390,155,8,50,2006,68,5
727,355,4,7087,579,10,49,2016,14,1
2777,437,10,3741,340,9,2,2002,13,2
1114,417,10,24070,145,6,21,2013,2,3
883,48,4,28197,559,6,46,2009,93,7
1870,289,10,4327,381,8,24,2002,116,7
2694,109,2,7602,446,7,43,2007,162,4
452,439,7,2760,447,4,5,2016,108,4
2163,259,10,2132,375,9,21,2001,125,4
681,352,9,5608,500,5,39,2011,104,6
1216,276,8,9311,620,10,9,2011,160,4
2939,130,2,15132,340,7,35,2006,80,1
305,350,5,26303,565,10,30,2015,113,6
56,122,6,29923,78,10,5,2011,155,6
1634,236,1,5223,331,9,44,2021,121,1
1125,353,9,3242,335,9,18,2002,172,7
108,108,8,3463,347,4,12,2001,64,7
1707,235,9,16755,248,4,41,2005,101,6
2999,299,3,3022,535,2,18,2012,91,5
2386,85,10,888,196,10,24,2008,41,7
2561,35,2,14133,165,3,34,2016,24,1
1791,229,9,6321,275,9,39,2017,147,4
1571,172,3,2840,654,6,20,2017,46,4
1928,427,10,23523,291,5,34,2011,126,1
1625,261,5,307,78,6,33,2020,127,7
2397,347,9,4108,116,9,22,2007,1,2
1565,228,6,28628,555,2,28,2017,79,2
2553,336,1,23929,273,6,31,2013,13,4
2922,86,9,23087,406,8,40,2020,35,5
1829,433,3,21848,217,7,4,2019,158,4
712,280,10,3190,384,9,21,2017,63,3
258,384,10,19519,83,5,44,2001,177,1
1119,416,4,367,420,4,14,2005,101,2
1518,155,8,4294,365,5,47,2001,89,4
979,296,5,19751,305,4,26,2021,103,2
1026,153,8,10425,434,6,25,2013,90,6
2660,141,5,19742,284,1,45,2020,132,1
2859,415,5,22864,583,6,6,2018,82,7
2821,440,2,21753,489,4,26,2003,42,6
719,168,2,23690,225,10,30,2020,25,3
1653,211,4,16263,236,2,1,2015,159,4
2524,45,7,8059,527,7,48,2001,181,6
798,284,4,17118,580,2,27,2021,47,3
2752,393,1,4413,337,5,45,2012,113,2
2638,77,3,19990,274,4,7,2021,152,3
864,292,7,18483,382,5,44,2003,104,7
1357,22,1,661,510,5,22,2000,31,2
1367,237,2,886,614,7,39,2011,20,2
2615,327,1,8486,261,10,39,2016,71,3
1451,132,8,20174,479,8,28,2000,170,5
803,215,9,13418,658,5,38,2014,10,1
1880,214,1,18818,633,7,2,2018,147,3
1438,218,2,15299,109,10,20,2001,80,5
1508,5,4,19489,477,2,1,2021,160,3
114,322,2,1061,490,2,42,2009,150,4
374,218,2,12562,698,4,7,2021,41,2
2442,149,5,18948,244,3,15,2015,156,2
2930,279,10,10965,330,2,32,2003,114,1
2484,449,6,12612,367,4,17,2017,5,1
1230,446,10,232,364,1,15,2009,151,4
1580,69,1,1148,138,7,33,2000,150,6
412,373,3,1167,325,4,45,2012,121,2
2551,219,7,17457,84,3,26,2002,17,5
1442,328,2,6786,298,7,35,2000,168,6
2087,279,2,5741,617,6,25,2016,195,6
1042,180,10,13218,459,8,4,2008,178,7
2025,365,2,19029,589,10,31,2014,134,3
2029,54,7,24733,105,8,39,2009,51,7
1724,46,1,7560,597,5,12,2019,30,1
1860,143,2,27332,277,4,18,2021,24,7
1160,76,5,22802,697,6,42,2016,49,7
2260,296,1,10174,410,1,3,2008,166,2
1946,303,3,26492,693,6,2,2009,20,4
1819,344,10,28199,289,10,29,2006,85,4
462,387,3,16260,202,7,11,2017,29,4
1727,7,2,4568,212,10,6,2008,49,2
2668,328,9,9038,319,2,38,2013,184,6
2394,278,2,13800,488,7,25,2007,8,1
